PWSID,System Name,County,Regulating Agency,Water Quality Risk Level_Display,Accessability Risk Level_Display,Affordability Risk Level_Display,TMF Capacity Risk Level_Display,POPULATION ,SAFER STATUS,Distinct count of PWSID,Funding Since 2017
CA4910025,KENWOOD VILLAGE WATER COMPANY (PUC),SONOMA,DISTRICT 18 - SONOMA,Medium Risk,No Risk,Low Risk,Low Risk,"1,000",Not At-Risk,1,$0 
CA4910026,ODD FELLOWS RECREATION CLUB,SONOMA,DISTRICT 18 - SONOMA,Low Risk,Low Risk,No Risk,Low Risk,309,Not At-Risk,1,$0 
CA4910027,SONOMA STATE UNIVERSITY,SONOMA,DISTRICT 18 - SONOMA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"10,986",Not Assessed,1,$0 
CA4910028,SWEETWATER SPRINGS CWD - MONTE RIO,SONOMA,DISTRICT 18 - SONOMA,No Risk,Low Risk,No Risk,Low Risk,"3,000",Not At-Risk,1,$0 
CA4910029,CAMP MEEKER WATER SYSTEM,SONOMA,DISTRICT 18 - SONOMA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"1,171",Not Assessed,1,$0 
CA4910701,U.S. COAST GUARD TRAINING CENTER,SONOMA,DISTRICT 18 - SONOMA,No Risk,Medium Risk,No Risk,No Risk,"1,422",Not At-Risk,1,$0 
CA5000005,CROWS LANDING COMM SVC DISTRICT,STANISLAUS,LPA80 - STANISLAUS COUNTY,Medium Risk,Medium Risk,Medium Risk,Low Risk,500,At-Risk,1,$0 
CA5000008,KNIGHTS FERRY COMM. SVC. DIST.,STANISLAUS,LPA80 - STANISLAUS COUNTY,Low Risk,High Risk,No Risk,Low Risk,168,Not At-Risk,1,$0 
CA5000010,TID/ LA GRANGE WATER SYSTEM,STANISLAUS,LPA80 - STANISLAUS COUNTY,Low Risk,Low Risk,No Risk,Low Risk,195,Not At-Risk,1,$0 
CA5000013,OID #45,STANISLAUS,LPA80 - STANISLAUS COUNTY,Medium Risk,Low Risk,No Risk,No Risk,144,Not At-Risk,1,$0 
CA5000014,OID #46 - SUNSET OAKS,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,No Risk,269,Not At-Risk,1,$0 
CA5000015,OID #22 - WILLIAMS TRACT,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,Low Risk,150,Not At-Risk,1,$0 
CA5000016,OID #41 - MOUNTAIN VIEW,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,Low Risk,147,Not At-Risk,1,$0 
CA5000017,PARK HEIGHTS MUTUAL WATER CO,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,No Risk,250,Not At-Risk,1,$0 
CA5000019,RIVERDALE PARK TRACT CSD,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,High Risk,Low Risk,610,Failing,1,$0 
CA5000033,COBLES CORNER,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,Low Risk,50,Failing,1,$0 
CA5000048,LAZY B MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,Medium Risk,125,Not At-Risk,1,$0 
CA5000049,LONE PINE MHP,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,Low Risk,64,Not At-Risk,1,$0 
CA5000054,MORNINGSIDE MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,Low Risk,67,Not At-Risk,1,$0 
CA5000055,OLIVE LANE MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,Low Risk,No Risk,Low Risk,153,At-Risk,1,$0 
CA5000058,FISHERMAN'S BEND MHP,STANISLAUS,LPA80 - STANISLAUS COUNTY,Medium Risk,High Risk,No Risk,Low Risk,120,At-Risk,1,$0 
CA5000060,CASA DE AMIGOS MOBILE HOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,220,Not At-Risk,1,$0 
CA5000061,MARTIN'S MOBILE HOME COURT,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,Low Risk,60,Failing,1,$0 
CA5000066,MODESTO MOBILE HOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,300,Not At-Risk,1,$0 
CA5000067,TULLY MOBILE ESTATES,STANISLAUS,LPA80 - STANISLAUS COUNTY,Medium Risk,High Risk,No Risk,Low Risk,40,At-Risk,1,$0 
CA5000071,TWIN CYPRESS MOBILE HOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,112,Not At-Risk,1,$0 
CA5000072,MULBERRY MHP,STANISLAUS,LPA80 - STANISLAUS COUNTY,Low Risk,Low Risk,No Risk,Low Risk,148,Not At-Risk,1,$0 
CA5000080,COUNTRY WESTERN MOBILE HOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,Medium Risk,High Risk,Low Risk,Low Risk,90,At-Risk,1,$0 
CA5000082,4N MOBILEHOME PARK,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,Low Risk,65,Potentially At-Risk,1,$0 
CA5000090,RIVERVIEW MOBILE HOME ESTATES,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,Low Risk,No Risk,No Risk,250,Failing,1,$0 
CA5000095,SUNRISE VILLAGE MHP,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,Low Risk,339,Not At-Risk,1,$0 
CA5000099,DEL RIO EAST HOA WATER SYSTEM,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,Low Risk,110,Not At-Risk,1,$0 
CA5000101,CHATOM SCHOOL (EH),STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,500,Not At-Risk,1,$0 
CA5000109,CERES UNIFIED/WESTPORT SCHOOL,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,No Risk,450,At-Risk,1,$0 
CA5000132,VALLEY HOME SCHOOL TEXAS,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,80,Not At-Risk,1,$0 
CA5000133,HART- RANSOM UNION SCHOOL & DISTRICT,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,650,Not At-Risk,1,$0 
CA5000155,ROBERTS FERRY SCHOOL CAFETERIA,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,100,Not At-Risk,1,$0 
CA5000218,COUNTRY VILLA APTS,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,Low Risk,60,Failing,1,$0 
CA5000237,NORTH OAKS MUTUAL WATER CO,STANISLAUS,LPA80 - STANISLAUS COUNTY,Low Risk,Medium Risk,No Risk,Low Risk,234,Not At-Risk,1,$0 
CA5000249,STANISLAUS UNION SCHOOL DIST,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,No Risk,390,Failing,1,$0 
CA5000255,MOUNTAIN VIEW ELEMENTARY SCHOOL,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,No Risk,364,Failing,1,"$480,000 "
CA5000263,OASIS INVESTMENTS,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,Low Risk,75,Not At-Risk,1,$0 
CA5000273,GRATTON SCHOOL,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,No Risk,110,Failing,1,$0 
CA5000274,PARADISE SCHOOL,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,No Risk,218,At-Risk,1,$0 
CA5000277,VALLEY HOME SCHOOL PIONEER,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,26,Not At-Risk,1,$0 
CA5000295,SHILOH SCHOOL DISTRICT,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,No Risk,105,Failing,1,$0 
CA5000297,BUEHNER HOUSES,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,Low Risk,25,At-Risk,1,$0 
CA5000313,BUEHNER WATER SYSTEM,STANISLAUS,LPA80 - STANISLAUS COUNTY,Low Risk,Medium Risk,No Risk,Low Risk,150,Not At-Risk,1,$0 
CA5000316,HAKAM MISSON,STANISLAUS,LPA80 - STANISLAUS COUNTY,High Risk,High Risk,No Risk,Medium Risk,45,Failing,1,$0 
CA5000317,OID #51 - SUNSET OAKS #10,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,Low Risk,No Risk,Low Risk,287,Not At-Risk,1,$0 
CA5000335,"BRETHREN HERITAGE SCHOOL, INC",STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,25,Not At-Risk,1,$0 
CA5000389,MONTEREY PARK TRACT CSD,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,High Risk,No Risk,186,At-Risk,1,"$101,360 "
CA5000404,WOOD COLONY CHRISTIAN SCHOOL,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,90,Not At-Risk,1,$0 
CA5000408,WESTLEY CSD,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,Low Risk,Low Risk,70,At-Risk,1,"$456,500 "
CA5000433,OID-OAKDALE RURAL WATER SYSTEM #1,STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,Low Risk,"1,570",Not At-Risk,1,$0 
CA5000568,GREGORI HIGH SCHOOL,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,"2,000",Not At-Risk,1,$0 
CA5000579,FOSTER FARMS #5,STANISLAUS,LPA80 - STANISLAUS COUNTY,Medium Risk,Low Risk,No Risk,Low Risk,26,Potentially At-Risk,1,$0 
CA5000584,MESA ELEMENTARY SCHOOL,STANISLAUS,LPA80 - STANISLAUS COUNTY,No Risk,High Risk,No Risk,No Risk,860,Not At-Risk,1,$0 
CA5010005,CITY OF MODESTO - SALIDA,STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,Low Risk,"14,530",Not At-Risk,1,$0 
CA5010006,CITY OF WATERFORD,STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,Medium Risk,No Risk,"8,788",Not At-Risk,1,$0 
CA5010007,HILLSVIEW HOMES,STANISLAUS,DISTRICT 10 - STOCKTON,High Risk,High Risk,No Risk,No Risk,887,Failing,1,$0 
CA5010008,"HUGHSON, CITY OF",STANISLAUS,DISTRICT 10 - STOCKTON,High Risk,High Risk,Low Risk,Low Risk,"6,082",Failing,1,$0 
CA5010009,KEYES COMMUNITY SERVICES DIST.,STANISLAUS,DISTRICT 10 - STOCKTON,High Risk,Low Risk,No Risk,Low Risk,"5,999",Failing,1,$0 
CA5010010,"MODESTO, CITY OF",STANISLAUS,DISTRICT 10 - STOCKTON,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"219,294",Not Assessed,1,$0 
CA5010013,CITY OF NEWMAN-WATER DEPARTMENT,STANISLAUS,DISTRICT 10 - STOCKTON,Medium Risk,Medium Risk,High Risk,No Risk,"11,784",At-Risk,1,"$9,452,000 "
CA5010014,"OAKDALE, CITY OF",STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,Low Risk,Low Risk,"22,348",Not At-Risk,1,$0 
CA5010017,"PATTERSON, CITY OF",STANISLAUS,DISTRICT 10 - STOCKTON,Medium Risk,Medium Risk,Low Risk,No Risk,"23,764",Potentially At-Risk,1,"$4,000,000 "
CA5010018,"RIVERBANK, CITY OF",STANISLAUS,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,Low Risk,No Risk,"25,244",Failing,1,$0 
CA5010019,"TURLOCK, CITY OF",STANISLAUS,DISTRICT 10 - STOCKTON,High Risk,No Risk,Low Risk,No Risk,"74,297",Failing,1,$0 
CA5010021,DENAIR COMMUNITY SERVICES DISTRICT,STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,No Risk,"5,189",Not At-Risk,1,$0 
CA5010023,CITY OF MODESTO - SOUTH TURLOCK,STANISLAUS,DISTRICT 10 - STOCKTON,Medium Risk,Low Risk,High Risk,Low Risk,"1,079",At-Risk,1,$0 
CA5010026,WATERFORD - HICKMAN,STANISLAUS,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,Low Risk,No Risk,597,Not At-Risk,1,$0 
CA5010028,"CERES, CITY OF",STANISLAUS,DISTRICT 10 - STOCKTON,High Risk,No Risk,Low Risk,No Risk,"48,706",Failing,1,$0 
CA5010029,CITY OF MODESTO - DEL RIO,STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,Low Risk,"1,274",Not At-Risk,1,$0 
CA5010031,CITY OF MODESTO - WALNUT MANOR,STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,High Risk,No Risk,Low Risk,175,Not At-Risk,1,$0 
CA5010033,CITY OF MODESTO - GRAYSON,STANISLAUS,DISTRICT 10 - STOCKTON,High Risk,Medium Risk,No Risk,Low Risk,871,At-Risk,1,"$653,200 "
CA5010034,CITY OF MODESTO - NORTH TURLOCK,STANISLAUS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,Low Risk,145,Potentially At-Risk,1,$0 
CA5010035,CITY OF MODESTO - CENTRAL TURLOCK,STANISLAUS,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,No Risk,Low Risk,116,Not At-Risk,1,$0 
CA5010038,MODESTO IRRIGATION DISTRICT,STANISLAUS,DISTRICT 10 - STOCKTON,Not Assessed,Not Assessed,Not Assessed,Not Assessed,18,Not Assessed,1,$0 
CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,STANISLAUS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,Medium Risk,Low Risk,"2,000",At-Risk,1,$0 
CA5010040,SOUTH SAN JOAQUIN IRRIGATION DISTRICT,STANISLAUS,DISTRICT 10 - STOCKTON,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"202,251",Not Assessed,1,$0 
CA5010042,WATERFORD-RIVER POINTE,STANISLAUS,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,Low Risk,No Risk,"1,079",Not At-Risk,1,$0 
CA5100107,SUTTER CO. WWD#1 (ROBBINS),SUTTER,DISTRICT 21 - VALLEY,High Risk,High Risk,High Risk,High Risk,339,Failing,1,$0 
CA5100112,TIERRA BUENA MHP #1,SUTTER,DISTRICT 21 - VALLEY,High Risk,High Risk,No Risk,Low Risk,50,Failing,1,$0 
CA5100125,HARMONY VILLAGE,SUTTER,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,Low Risk,25,Not At-Risk,1,$0 
CA5100136,EAST NICOLAUS JOINT UNION HIGH SCHOOL,SUTTER,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,No Risk,329,Not At-Risk,1,$0 
CA5100138,BROWNS ELEMENTARY SCHOOL,SUTTER,DISTRICT 21 - VALLEY,High Risk,High Risk,No Risk,No Risk,160,Failing,1,$0 
CA5100140,MARCUM ILLINOIS ELEMENTARY SCHOOL,SUTTER,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,No Risk,185,Not At-Risk,1,$0 
CA5100141,MERIDIAN ELEMENTARY SCHOOL,SUTTER,DISTRICT 21 - VALLEY,High Risk,High Risk,No Risk,No Risk,100,At-Risk,1,$0 
CA5100142,NUESTRO SCHOOL,SUTTER,DISTRICT 21 - VALLEY,High Risk,High Risk,No Risk,No Risk,120,At-Risk,1,$0 
CA5100143,PLEASANT GROVE ELEM. SCHOOL,SUTTER,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,No Risk,177,Not At-Risk,1,$0 
CA5100145,WINSHIP ELEMENTARY SCHOOL,SUTTER,DISTRICT 21 - VALLEY,High Risk,High Risk,No Risk,No Risk,38,At-Risk,1,$0 
CA5100149,BARRY ELEMENTARY SCHOOL,SUTTER,DISTRICT 21 - VALLEY,High Risk,High Risk,No Risk,No Risk,650,Failing,1,"$2,380,000 "
CA5100172,ENCINAL ELEMENTARY SCHOOL,SUTTER,DISTRICT 21 - VALLEY,Medium Risk,High Risk,No Risk,No Risk,128,Potentially At-Risk,1,$0 
CA5101009,WILDWOOD EAST MUTUAL,SUTTER,DISTRICT 21 - VALLEY,High Risk,Low Risk,No Risk,Low Risk,350,At-Risk,1,$0 
CA5102025,YUBA APARTMENT HOMES,SUTTER,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,Low Risk,40,Not At-Risk,1,$0 
CA5103335,LIVE OAK CHILD CARE CENTER,SUTTER,DISTRICT 21 - VALLEY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,50,Not Assessed,1,$0 
CA5110001,CITY OF LIVE OAK,SUTTER,DISTRICT 21 - VALLEY,High Risk,Low Risk,High Risk,Low Risk,"8,912",At-Risk,1,$0 
CA5110002,CITY OF YUBA CITY,SUTTER,DISTRICT 21 - VALLEY,Medium Risk,No Risk,Low Risk,No Risk,"73,202",Not At-Risk,1,"$2,380,000 "
CA5110007,SUTTER COMMUNITY S.D.,SUTTER,DISTRICT 21 - VALLEY,No Risk,Low Risk,Low Risk,No Risk,"2,904",Not At-Risk,1,$0 
CA5200007,HOWELL'S LAKESIDE WATER CO.,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Medium Risk,No Risk,Low Risk,75,Not At-Risk,1,$0 
CA5200008,BREESE SUBDIVISION 2,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,Not Assessed,Low Risk,75,Potentially At-Risk,1,$0 
CA5200010,WOODSON BRIDGE RV PARK,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,Not Assessed,No Risk,45,Not At-Risk,1,$0 
CA5200012,VISTA GRANDE WATER SYSTEM,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,No Risk,No Risk,400,Not At-Risk,1,$0 
CA5200013,WOMACK SUBDIVISION M.W.C.,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,40,Not At-Risk,1,$0 
CA5200014,WILSON ACRES MUTUAL WATER,TEHAMA,LPA82 - TEHAMA COUNTY,Low Risk,High Risk,No Risk,Medium Risk,75,Potentially At-Risk,1,$0 
CA5200255,CORNING RV PARK,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,112,Potentially At-Risk,1,$0 
CA5200500,REEDS CREEK ESTATES,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,70,Not At-Risk,1,$0 
CA5200502,LAS FLORES WATER WORKS,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,191,Not At-Risk,1,$0 
CA5200503,MINERAL COUNTY WATER DISTRICT,TEHAMA,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,Low Risk,624,Not At-Risk,1,$0 
CA5200504,CITY OF TEHAMA,TEHAMA,DISTRICT 21 - VALLEY,No Risk,Low Risk,Low Risk,No Risk,445,Not At-Risk,1,$0 
CA5200506,PLUM VALLEY ELEM SCHOOL (NEW SCHOOL),TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,70,Not At-Risk,1,$0 
CA5200507,BERRENDOS SCHOOL,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,325,Not At-Risk,1,$0 
CA5200508,RIO VISTA MOBILE HOME PARK,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,543,Not At-Risk,1,$0 
CA5200510,RIVER RANCH MOBILE HOME PARK,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,No Risk,Low Risk,305,Not At-Risk,1,$0 
CA5200511,BEND ELEMENTARY SCHOOL,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,100,Not At-Risk,1,$0 
CA5200512,BEND MOBILEHOME & RV PARK,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,No Risk,Low Risk,99,Not At-Risk,1,$0 
CA5200513,EVERGREEN UNION SCHOOL DISTRICT,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,No Risk,No Risk,"1,100",Not At-Risk,1,$0 
CA5200514,GOLDEN ACRES TRAILER PARK,TEHAMA,LPA82 - TEHAMA COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,81,Not Assessed,1,$0 
CA5200518,FLOURNOY SCHOOL,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,32,Not At-Risk,1,$0 
CA5200519,GERBER UNION ELEMENTARY SCHOOL DISTRICT,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,625,Not At-Risk,1,$0 
CA5200520,KIRKWOOD ELEMENTARY SCHOOL,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,111,Not At-Risk,1,$0 
CA5200521,ANTELOPE CREEK MHP,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,175,Not At-Risk,1,$0 
CA5200525,NORTH VALLEY SERVICES,TEHAMA,LPA82 - TEHAMA COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,57,Not Assessed,1,$0 
CA5200526,HIDDEN HARBOR MARINA & RVP,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,70,Not At-Risk,1,$0 
CA5200527,HUNTER'S FISHING RESORT,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,No Risk,Low Risk,50,Not At-Risk,1,$0 
CA5200531,RIVER POINTE LANDING MHP,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,Not Assessed,No Risk,104,Not At-Risk,1,$0 
CA5200534,PASKENTA COMM. SERVICES DIST.,TEHAMA,DISTRICT 21 - VALLEY,Low Risk,High Risk,Not Assessed,No Risk,244,Failing,1,$0 
CA5200535,LIVE OAK ACRES MWC INC.,TEHAMA,LPA82 - TEHAMA COUNTY,Low Risk,High Risk,Low Risk,No Risk,80,Potentially At-Risk,1,$0 
CA5200538,LASSEN VIEW UNION ELEMENTARY SCHOOL DIST,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,350,Not At-Risk,1,$0 
CA5200539,FRIENDLY ACRES MHP,TEHAMA,LPA82 - TEHAMA COUNTY,Medium Risk,High Risk,No Risk,Low Risk,75,At-Risk,1,$0 
CA5200540,REEDS CREEK SCHOOL,TEHAMA,LPA82 - TEHAMA COUNTY,Medium Risk,High Risk,No Risk,No Risk,196,Potentially At-Risk,1,$0 
CA5200541,E HEADSTART,TEHAMA,LPA82 - TEHAMA COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,220,Not Assessed,1,$0 
CA5200544,VINA ELEMENTARY SCHOOL,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,90,Not At-Risk,1,$0 
CA5200545,MODERN VILLAGE MWC,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,85,Not At-Risk,1,$0 
CA5200546,ANTELOPE-HOMEWOOD MHP,TEHAMA,LPA82 - TEHAMA COUNTY,Low Risk,High Risk,Not Assessed,No Risk,140,At-Risk,1,$0 
CA5200547,GATEWAY MOBILE HOME PARK,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Medium Risk,75,Not At-Risk,1,$0 
CA5200548,LASSEN VIEW WATER DISTRICT,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,Not Assessed,No Risk,85,Not At-Risk,1,$0 
CA5200551,WOODSON BRIDGE MHP,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,158,Not At-Risk,1,$0 
CA5200555,RIO RANCH COMMUNITY SVCS DIST,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,44,Not At-Risk,1,$0 
CA5200556,MAYWOOD MOBILE HOME PARK,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Medium Risk,140,Potentially At-Risk,1,$0 
CA5200558,RIVER VIEW MHC LLC,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,100,Not At-Risk,1,$0 
CA5200559,ABBEY OF NEW CLAIRVAUX,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Medium Risk,25,Potentially At-Risk,1,$0 
CA5200560,MIRA MONTE WATER CO.,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,142,Not At-Risk,1,$0 
CA5200562,SKY VIEW COUNTY WATER,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,412,Not At-Risk,1,"$498,000 "
CA5200565,RICHFIELD ELEMENTARY SCHOOL,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,280,Not At-Risk,1,$0 
CA5200570,SURREY VILLAGE WATER CO. INC.,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,No Risk,Low Risk,145,Not At-Risk,1,$0 
CA5200571,MOUNTAIN VALLEY APTS & RVP,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,131,Not At-Risk,1,$0 
CA5200574,DEL ORO WC - LARKSPUR MEADOWS,TEHAMA,DISTRICT 21 - VALLEY,No Risk,Low Risk,Not Assessed,No Risk,112,Not At-Risk,1,$0 
CA5200575,RANCHO COLORADO WS,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,Not Assessed,No Risk,36,Not At-Risk,1,$0 
CA5200584,LITTLE AVENUE WATER SYSTEM,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,Low Risk,53,Not At-Risk,1,$0 
CA5200588,JUANITA COURT MUTUAL WATER,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,Low Risk,No Risk,Low Risk,42,Not At-Risk,1,$0 
CA5200600,GURNSEY AVENUE MUTUAL WATER SYSTEM,TEHAMA,LPA82 - TEHAMA COUNTY,Low Risk,High Risk,No Risk,Low Risk,25,Failing,1,"$484,114 "
CA5200645,SADDLEBACK MUTUAL WATER CO.,TEHAMA,LPA82 - TEHAMA COUNTY,Medium Risk,Low Risk,Not Assessed,No Risk,90,Potentially At-Risk,1,$0 
CA5200657,NORCAL WATER WORKS,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,Not Assessed,No Risk,45,At-Risk,1,$0 
CA5200864,R-WILD HORSE RANCH,TEHAMA,LPA82 - TEHAMA COUNTY,Medium Risk,Medium Risk,No Risk,Low Risk,55,Potentially At-Risk,1,$0 
CA5201140,ANTOINETTE MUTUAL WATER CO,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,25,Not At-Risk,1,$0 
CA5201147,GOLDEN MEADOWS CSD,TEHAMA,LPA82 - TEHAMA COUNTY,No Risk,High Risk,No Risk,No Risk,102,Not At-Risk,1,$0 
